case_id,name_zh,name_en,period,actor,conflict_context,target_or_platform,decoy_form,mobility,spectral_features,deception_effect,source_quality,source_refs,notes,feature_dimension,domain,physical_evolution
MOD-2023-RU-AIR-DECOY,俄军空中与机场假目标,Russian aerial and airbase decoys,2022-present,Russian forces,Russia-Ukraine war,"Ukrainian air defense and one-way attack drones; painted bomber silhouettes, inert cruise missiles, decoy balloons, inflatable command posts","Mixed: EO/signal decoys, inert munitions as decoys, painted silhouettes, inflatable C2",Static / air-launched,"Optical (painted Tu-95 silhouettes at Engels), EO/radar of balloons, inert missile and drone signatures","Diverts Ukrainian air defense and OWA drones, complicates SAR/EO BDA, and baits expensive air-defense missiles",A/B,USNI-DECOY-WARFARE-UKRAINE,Several distinct Russian techniques grouped here; painted-bomber and decoy-balloon claims rest largely on satellite imagery and a single analytic article.,mixed,cross_domain,informationized
MOD-2024-IL-IR-TRUEPROMISE,以伊直接对攻：真实承诺 I/II,Iran-Israel direct strikes (True Promise I and II),2024,Iran vs Israel (with US and allied defense),"Iran-Israel conflict, April and October 2024",Israeli air bases and air defense; the saturation salvo itself decoys defensive tracking and prioritization,Signal/saturation: mixed drone + cruise + ballistic salvos that decoy defensive tracking and interceptor allocation,N/A (munition salvo),"Multiple simultaneous radar tracks, mixed threat types, compressed timing","Mixed and large salvos stress radar processing and interceptor prioritization; the April 2024 intercept effort reportedly cost the defender ~US$1B, an unfavorable cost-exchange",A/B,FPRI-SHALLOW-RAMPARTS; SATURATION-LAYERED-BATTLEFIELD,"Here the 'decoy' is signal-level (saturation and mixed salvos) rather than physical dummies; impact counts (~9 after TP I, ~44-45 after TP II) follow FPRI and vary by source.",signal,air,informationized
MOD-2025-IL-IR-12DAY,2025 年 6 月以伊十二日战争（崛起雄狮 / 真实承诺 III）,June 2025 Israel-Iran war (Rising Lion / True Promise III),2025,Israel and US vs Iran,"Twelve-day Israel-Iran war, June 2025; US strikes on Fordow, Natanz, Isfahan","Israeli air bases and cities; US/Israeli BMD (Arrow, David's Sling, THAAD, SM-3, Patriot)","Signal/saturation plus penetration aids: MRBM saturation, mixed salvos, maneuvering and cluster/submunition warheads",N/A (munition salvo),"Radar tracks, high-altitude submunition dispersal, maneuvering re-entry vehicles",Saturation and penaids degrade tracking fidelity and deplete high-cost interceptor magazines (Arrow stocks reported heavily drawn down); some leakers reach targets,A/B,FPRI-SHALLOW-RAMPARTS; TWZ-IRAN-CLUSTER-WARHEAD; DSA-IRAN-SATURATION,Covers the US-Israel-Iran triangle. Penaid and cluster-warhead observations are reported or imagery-based; interception and depletion percentages vary widely by source.,signal,air,informationized
MOD-2023-HOUTHI-REDSEA,胡塞武装红海低成本消耗作战,Houthi Red Sea cost-exchange campaign,2023-present,Houthis (Iran-backed) vs US/UK/coalition naval forces,"Red Sea and Gulf of Aden, since Oct-Nov 2023",Commercial and naval shipping; coalition air and missile defenses; shore-based mobile launchers and decoy systems,Cost-imposition via cheap one-way drones and missiles; ground decoys and mobile launchers complicate counter-targeting,Mobile / one-way,"Mixed cruise, ballistic, and OWA-drone signatures; salvo timing","Cheap (~US$2k-40k) munitions force multimillion-dollar interceptor use; mobile launchers and decoys frustrate US/coalition strikes (Prosperity Guardian, Rough Rider)",B,NEWLINES-HOUTHI-DRONES; NATIONAL-CHEAP-DRONES; GEOPOL-DRONES-DOLLARS; NBC-HOUTHI-DRONES,"Core cost-exchange and asymmetry case; per-engagement cost figures are widely reported estimates, and the Houthi ground-decoy claim rests on Pentagon-assessment reporting.",mixed,sea,informationized
CONCEPT-2026-LUCAS-EPICFURY,美军 LUCAS 低成本诱饵蜂群（坚定狂怒行动）,US LUCAS low-cost decoy swarm (Operation Epic Fury),2026,US Central Command,"Reported US operations against Iranian air defenses, 2026",Iranian air-defense network; massed low-cost decoys to open windows for follow-on strikes,Massed attritable decoy drones (LUCAS) used offensively to saturate and expose defenses,Autonomous / mass-launched,Air-vehicle radar and EO signatures presented in volume,"Inverts the Red Sea cost equation: cheap US decoys impose cost on, and create gaps in, Iranian point defenses for follow-on manned aircraft and cruise missiles",C,DEFENSEINFO-EPICFURY-LUCAS,"Recent, single-outlet, post-2025 reporting; treat as provisional until corroborated. Mirrors the Nagorno-Karabakh SEAD-by-decoy logic at scale, with roles reversed.",behavioral,air,intelligent
HIST-1982-BEKAA,贝卡谷地战役（鼹鼠蟋蟀 19 行动）,Bekaa Valley / Operation Mole Cricket 19,1982,Israel (IAF),1982 Lebanon War; SEAD campaign vs Syrian SAMs,Syrian SA-2/3/6 batteries and radars; decoys imitate strike aircraft,"Signal/physical decoys (Samson glide decoys, the TALD precursor) cued by Mastiff/Scout UAVs",Air-launched / one-way,Radar returns mimicking aircraft; UAV-cued ELINT and geolocation,"Baited Syrian SAM radars into emitting and launching, exposing them for anti-radiation and artillery fires; about 29 of 30 batteries destroyed; first Western destruction of a Soviet-built SAM network",A/B,FAS-TALD; WIKI-MOLE-CRICKET-19,"Historical anchor for decoy-enabled SEAD, predating the Nagorno-Karabakh An-2 case; battery and loss figures vary by source.",mixed,air,mechanical
SIG-CHAFF-FLARE,箔条与红外诱饵弹（消耗式自卫诱饵）,Chaff and infrared decoy flares,1943-present,Multiple (orig. UK 'Window'; US/NATO/global),Air and naval self-protection since WWII,Radar- and IR-guided missiles; protects aircraft and ships,"Expendable signal decoys: chaff (RF) and flares (IR), dispensed by AN/ALE-47 and similar",Expendable / dispensed,"RF (chaff clutter and false returns); IR (high-temperature, multispectral, kinematic flares)","Break or seduce a missile's lock; modern multispectral/kinematic flares counter imaging-IR seekers, while chaff against pulse-Doppler radar is degraded by Doppler discrimination",A/B,DSIAC-DECOYS-US-MILITARY; GS-FLARES; WIKI-CHAFF; MM-COUNTERMEASURES,"Foundational expendables; DSIAC anchors the U.S. military decoy overview, while flare-vs-imaging-IR specifics still need stronger technical papers.",signal,cross_domain,mechanical
SIG-ADM141-TALD,ADM-141 TALD/ITALD 战术空射诱饵,ADM-141 TALD / ITALD tactical air-launched decoy,1980s-present,"US Navy / Israel (Brunswick, IMI)",SEAD; origin 'Samson' (Bekaa 1982); used in Desert Storm 1991,Enemy IADS radars; mimics strike-aircraft radar cross-section,"Air-launched glide (TALD) and turbojet-powered (ITALD) decoy; chaff, passive (Luneburg lens) and active RF variants","Air-launched, preprogrammed glide or powered","Radar (Luneburg-lens passive, RF active), chaff; programmable flight profile",Saturates and dilutes IADS and baits radars to emit; more than 100 launched in the Desert Storm opening,A/B,FAS-TALD; DSN-TALD,Lineage: Samson -> TALD -> DARPA MALD -> ADM-160; the historical bridge to MALD. (1950s-60s ADM-20 Quail was the earlier B-52-carried decoy.),signal,air,informationized
SIG-ADM160-MALD,ADM-160 MALD/MALD-J 微型空射诱饵,ADM-160 MALD / MALD-J miniature air-launched decoy,2009-present,US Air Force / US Navy / Ukraine (Raytheon),SEAD; combat use reported in the Russo-Ukrainian war,Enemy early-warning and tracking radars; mimics aircraft RCS,Expendable turbojet decoy (ADM-160B) and jammer/decoy (ADM-160C MALD-J); MALD-X and Navy MALD-N derivatives,"Air-launched, GPS/INS, ~500+ nmi, programmable",Radar RCS emulation; active jamming (MALD-J); networking/swarming (MALD-X),"Dilutes and confuses IADS, provides stand-in jamming, and cues or exposes defenses for the strike package",A,DARPA-MALD-TIMELINE; RTX-MALD; DOTE-MALDJ-2016; ASF-MALD; DSN-MALD; GS-MALD,Official DARPA and DOT&E sources now anchor the unmanned/attritable decoy lineage; vendor material is bounded to product existence and claimed role.,signal,air,informationized
SIG-ALE-TOWED,AN/ALE-50 与 AN/ALE-55 拖曳式诱饵,AN/ALE-50 and AN/ALE-55 towed decoys,1990s-present,US (Raytheon ALE-50; BAE ALE-55),Aircraft self-protection; ALE-50 combat use over Kosovo and Iraq,Radar-guided air-to-air and surface-to-air missiles; protects the host aircraft,"Towed RF decoy (ALE-50 'Little Buddy') and fiber-optic towed decoy (ALE-55, IDECM with ALQ-214)",Towed behind the aircraft,RF; ALE-55 repeats and amplifies aircraft-correlated jamming over a fiber-optic link,Seduces the missile lock off-board onto the towed body; ALE-55 covers 1-35 GHz on the B-1B and F/A-18E/F,A/B,GS-ALE50; BAE-ALE55; PATENT-ALE55; WIKI-ALE50; WIKI-ALE55,ALE-50 combat-use basics are cross-checked against GlobalSecurity; ALE-55 product claims are vendor/technical-source bounded and should not be read as combat-effect proof.,signal,air,informationized
SIG-NULKA,Nulka（MK 53）有源悬停舰载诱饵,Nulka MK 53 active expendable hovering decoy,1990s-present,"Australia / US (BAE Systems Australia, L3Harris/Lockheed)","Naval anti-ship-missile self-defense; US/AUS/CAN/USCG, 150+ ships",RF-guided anti-ship missiles; protects warships,Rocket-propelled hovering active RF decoy (offboard active expendable),"Launched, thrust-vectored hover, preprogrammed flight",RF; radiates a large false ship-like return that walks the seeker off the ship,Seduces the ASM seeker to an offboard hovering point; effective 360 degrees and independent of ship maneuver,A,NAVY-NULKA-MK53; BAE-NULKA; DST-NULKA,Australia's most successful defence export; the canonical 'active expendable decoy.',signal,sea,informationized
SIG-NIXIE,AN/SLQ-25 Nixie 拖曳式鱼雷声诱饵,AN/SLQ-25 Nixie towed torpedo decoy,1970s-present,US Navy and allies (Ultra and others),Surface-ship torpedo defense (soft kill),"Acoustic-, wake-, and wire-guided torpedoes; protects surface ships",Towed electro-acoustic decoy (TB-14A body plus shipboard signal generator),"Towed astern, often in pairs",Acoustic; emits simulated ship noise (passive) and amplifies and returns active sonar pings,Draws torpedoes away from the ship onto the towed body; SLQ-25B/C/E add active-homing defeat and littoral tow,A/B,FAS-NIXIE; ULTRA-TORPEDO-CM; GLSV-ACOUSTIC-CM; WIKI-NIXIE,Acoustic-domain analogue to RF towed decoys; added vendor/SBIR sources point toward expendable and mobile underwater countermeasure evolution.,signal,sea,informationized
SIG-ICBM-PENAIDS,洲际导弹突防诱饵与中段鉴别难题,ICBM penetration aids and the midcourse discrimination problem,1950s-present,"US, USSR/Russia, China and others",Strategic nuclear penetration vs ballistic missile defense,Missile-defense radars and interceptors; decoys accompany or disguise the reentry vehicle,"Signal/physical penaids: balloon decoys, chaff, replica RVs, IR-signature cooling, anti-simulation, jammers",Released in midcourse (exo-atmospheric),"Radar RCS-matched balloons, chaff clutter, IR-signature masking; anti-simulation makes the RV look like a decoy",Forces the defense to expend interceptors on false targets; the unsolved midcourse discrimination problem (LRDR and NGI aim to address it),A,CSIS-PENAIDS; SPACECOM-LRDR; GS-MIDCOURSE,"Strategic-scale decoying; open sources support the discrimination problem and sensor context, while national penaid specifics remain classified.",mixed,space,informationized
CYBER-HIST-CUCKOO,杜鹃蛋 / SDInet 诱饵文档,The Cuckoo's Egg / SDInet decoy documents,1986-1987,Clifford Stoll / Lawrence Berkeley Lab,Early intrusion investigation (KGB-linked espionage),An intruder probing US lab and military networks; fabricated project protects real systems,Cyber narrative/data decoy: a fake 'SDInet' project full of decoy documents (honeytokens),Software-deployable,"N/A (decoy files, fake project records)",Kept the intruder online long enough to trace the connection; foundational real-world cyber-deception case,A,STOLL-WILY-HACKER; SPRINGER-CUCKOO; WIKI-CUCKOO,Historical anchor for cyber deception; use Stoll primary/book sources for SDInet decoy-document specifics and Wikipedia only for orientation.,cyber,cyber,classic
CYBER-HONEYPOT,蜜罐与蜜网,Honeypots and honeynets,1990s-present,Security researchers; The Honeynet Project; open-source community,Network defense; threat research,"Networks, hosts, and services; protects real assets by diverting intruders","Cyber decoy systems: low- and high-interaction honeypots, networked into honeynets",Software-deployable / reconfigurable,N/A (emulated or real service and protocol signatures),Any interaction is a high-fidelity intrusion signal; captures attacker tools and behavior,A,HONEYNET-PROJECT; TPOT-GH; COWRIE-GH; DIONAEA-GH,Core cyber decoy-system concept; interaction depth trades fidelity against fingerprintability and pivot risk.,cyber,cyber,informationized
CYBER-HONEYTOKEN,蜜标与金丝雀令牌,Honeytokens and canarytokens,2000s-present,Thinkst and others,Network defense; data-loss and breach detection,"Credentials, files, documents, DB rows, URLs, cloud API keys, identities",Cyber data-level decoys: tripwire tokens that call home when used,Software-deployable,N/A (data and token signatures),"Detects use of bait data without hosting a full system; cheap, scalable early warning",A,CANARYTOKENS; OPENCANARY-GH; THINKST-CANARY,"Data-level analogue to a tripwire; canarytokens.org offers a hosted demo, with self-hostable code.",cyber,cyber,informationized
CYBER-DECEPTION-PLATFORM,分布式欺骗平台（商用 deception 技术）,Distributed Deception Platforms (commercial deception tech),2010s-present,"SentinelOne (Attivo), Proofpoint (Illusive), Zscaler (Smokescreen), Acalvio, CounterCraft, Fortinet, others",Enterprise network defense,"Enterprise networks, endpoints, identities, cloud; protects production assets","Cyber decoy network plus breadcrumbs across production hosts, centrally orchestrated",Software-deployable / orchestrated,"N/A (decoy host, service, and identity signatures)",Detects lateral movement and credential theft early; misdirects intruders into instrumented decoy environments,A/B,MITRE-ENGAGE; ZSCALER-ENGAGE; SECURITYHIVE-HONEYPOTS; SMOKESCREEN-OSS,MITRE anchors adversary-engagement doctrine; vendor and tool-list sources map market and implementation details with lower evidentiary weight.,cyber,cyber,intelligent
CYBER-IDENTITY-DECOY,诱饵身份与凭证（含 AD 欺骗）,Decoy identities and credentials (incl. Active Directory deception),2010s-present,Security teams; DCEPT (Dell SecureWorks); deception vendors,Defense against credential theft and lateral movement,"User accounts, credentials, Active Directory objects, sessions; protects real identity infrastructure","Cyber identity decoys: honey accounts, decoy AD objects, planted credentials, breadcrumbs",Software-deployable,N/A (credential and directory-object signatures),Lures credential-dumping and lateral movement; use of a decoy credential is a high-confidence breach signal,B,SMOKESCREEN-OSS; MITRE-ENGAGE,"Directly targets the post-compromise phase; breadcrumb realism (e.g., Honeybits) determines effectiveness.",cyber,cyber,informationized
CYBER-ICS-HONEYPOT,工控/SCADA 蜜罐（OT 欺骗）,ICS/SCADA and OT honeypots,2010s-present,Open-source community (Conpot and others),Operational-technology and critical-infrastructure defense,"PLCs, RTUs, SCADA HMIs, industrial protocols; protects real OT",Cyber decoy emulating industrial control systems,Software-deployable,"N/A (Modbus, DNP3, BACnet, SNMP and HMI signatures)",Attracts and characterizes attackers targeting utilities and industrial systems; OT-domain deception,A/B,CONPOT-GH; SMOKESCREEN-OSS,Bridges cyber and physical domains; OT decoys carry extra safety and isolation requirements.,cyber,cyber,informationized
CYBER-FRAMEWORK,网络欺骗框架：MITRE Engage 与 D3FEND,Cyber deception frameworks: MITRE Engage and D3FEND,2020s,MITRE,Doctrine and planning for adversary engagement,Adversary-engagement programs; not a single system,"Doctrine/framework layer for planning denial, deception, and engagement",N/A (framework),N/A,Provides shared terminology and technique mapping to ATT&CK; engagement reportedly raised intel per operation from a couple of IOCs to ~40 items,A,MITRE-ENGAGE; MITRE-ENGAGE-NEWS; MITRE-D3FEND,Engage replaced MITRE Shield in March 2022; D3FEND enumerates explicit decoy techniques.,cyber,cyber,informationized
CYBER-ANTI-HONEYPOT,蜜罐识别与反欺骗,Honeypot detection and anti-deception,2000s-present,Attackers and red teams; reconnaissance tools,Adversary counter-deception,Defenders' honeypots and decoys; the target of counter-decoy effort,Counter-decoy: fingerprinting and environment checks to spot and avoid cyber decoys,N/A (technique),"N/A (timing, banner, config, and VM-artifact signatures)","Attackers fingerprint decoys (default configs, banners, timing, missing activity) and reconnaissance tools flag likely honeypots",C,SECURITYHIVE-HONEYPOTS; AWESOME-HONEYPOTS,The cyber face of the counter-decoy dimension; hardening decoys for realism mirrors physical multi-spectral consistency.,cyber,cyber,intelligent
CD-MULTISPECTRAL,多谱段/多线索一致性鉴别,Multi-spectral / cross-cue consistency discrimination,2000s-present,ISR and air-defense communities,Counter-deception across domains,"Any decoy; the discriminator demands consistency across EO, IR, radar, RF, behavior",Counter-decoy method: fuse multiple cues to find the signature a decoy got wrong,N/A (method),Cross-cue: EO + IR + radar + RF + behavior,Exposes decoys that fake some cues but not others; the master discrimination principle,A/B,USNI-DECOY-WARFARE-UKRAINE; RAND-KOSOVO; AUP-HIDING-PLAIN-SIGHT; SAR-DECOY-DETECTION; MM-COUNTERMEASURES,"Unifying counter-decoy principle: a target story must survive sensor fusion, pattern-of-life checks, and phenomenology-specific discriminators.",mixed,cross_domain,intelligent
CD-SAR,SAR 散射与极化鉴别,SAR scattering and polarimetric discrimination,2010s-present,ISR / radar-analysis communities,Detecting inflatable and skin-only physical decoys,"Inflatable/physical decoys (tanks, aircraft, radars)",Counter-decoy method: SAR and polarimetric scattering analysis,N/A (method),"Radar scattering centers, polarimetry, multipath","Inflatables lack internal structure, edges, and tracks, so their radar scattering differs from real vehicles",B,SAR-DECOY-DETECTION; USNI-DECOY-WARFARE-UKRAINE,Why modern decoys add corner reflectors and tuned skins; crude additions are themselves detectable.,signal,cross_domain,informationized
CD-IR-KINEMATIC,红外光谱/空间/运动学鉴别,"Infrared spectral, spatial, and kinematic discrimination",1980s-present,Missile-seeker and air-defense communities,Defeating IR decoy flares and thermal decoys,IR decoy flares and ground thermal decoys,"Counter-decoy method: imaging-IR shape, spectral band ratios, and kinematics",N/A (method),"IR spectral bands, spatial shape, flare deceleration/fall",Imaging IR seekers reject point-source flares by shape and kinematics; thermal decoys fail on uniform or mistimed heat,A/B,PATENT-IR-DECOY; GS-FLARES; MM-COUNTERMEASURES,"Drove the shift to multi-spectral, kinematic, aircraft-shaped flares; patents support technical design logic but not deployed effectiveness.",signal,air,informationized
CD-DOPPLER-KINEMATIC,多普勒与弹道鉴别,Radar Doppler and ballistic discrimination,1960s-present,Radar and air/missile-defense communities,Defeating chaff and lightweight atmospheric decoys,Chaff and lightweight decoys vs aircraft and reentry vehicles,Counter-decoy method: pulse-Doppler velocity and atmospheric ballistic-coefficient analysis,N/A (method),"Doppler shift, deceleration, ballistic coefficient","Chaff loses velocity fast; light decoys decelerate unlike a heavy RV, enabling terminal discrimination",B,WIKI-CHAFF; CSIS-PENAIDS,"Works in the atmosphere; the same trick fails in vacuum, which makes the midcourse case hard.",signal,air,informationized
CD-BMD-MIDCOURSE,弹道导弹中段鉴别难题,Ballistic missile defense midcourse discrimination problem,1950s-present,"Missile-defense community (US, Russia, China and others)",Strategic missile defense vs penetration aids,"Midcourse RVs, balloon decoys, replica RVs, chaff",Counter-decoy method: multi-phenomenology + discrimination radar (LRDR) + space sensors,N/A (method),"Radar features, IR signature, micro-motion","In vacuum, light decoys and heavy warheads share a trajectory, defeating ballistic discrimination; the canonical unsolved problem",A,CSIS-PENAIDS; SPACECOM-LRDR; FEDREG-LRDR-ROD; GS-MIDCOURSE,Anti-simulation inverts the burden onto the defense; LRDR sources anchor the space/missile-defense discrimination sensor context.,signal,space,intelligent
